Thrtl	Brke	WjlDeg	DGear	RGear	Vel	LaneDev	RT	Col	Time
0	100	0.001	128	0	0	289	0	False	272072
0	100	0.001	128	0	0	289	0	False	272080
0	100	0.001	128	0	0	289	0	False	272096
0	100	0.001	128	0	0	289	0	False	272112
0	100	0.001	128	0	0	289	0	False	272128
0	100	0.001	128	0	0	289	0	False	272144
0	100	0.001	128	0	0	289	0	False	272160
0	100	0.001	128	0	0	289	0	False	272176
0	100	0.001	128	0	0	289	0	False	272192
0	100	0.001	128	0	0	289	0	False	272208
0	100	0.001	128	0	0	289	0	False	272225
0	100	0.001	128	0	0	289	0	False	272240
0	100	0.001	128	0	0	289	0	False	272256
0	100	0.001	128	0	0	289	0	False	272272
0	100	0.001	128	0	0	289	0	False	272288
0	100	0.001	128	0	0	289	0	False	272304
0	100	0.001	128	0	0	289	0	False	272320
0	100	0.001	128	0	0	289	0	False	272336
0	100	0.001	128	0	0	289	0	False	272352
0	100	0.001	128	0	0	289	0	False	272368
0	100	0.001	128	0	0	289	0	False	272384
0	84.962	0.001	128	0	0	289	0	False	272400
0	61.231	0.001	128	0	0	289	0	False	272416
0	37.844	0.001	128	0	0	289	0	False	272432
0	12.059	0.001	128	0	0	289	0	False	272448
0	0	0.001	128	0	0.025	289	0	False	272464
0	0	0.001	128	0	0.05	289	0	False	272480
0	0	0.001	128	0	0.075	289	0	False	272496
0	0	0.001	128	0	0.1	289	0	False	272512
0	0	0.001	128	0	0.125	289	0	False	272528
0	0	0.001	128	0	0.15	289	0	False	272544
0	0	0.001	128	0	0.175	289	0	False	272560
0	0	0.001	128	0	0.2	289	0	False	272576
0	0	0.001	128	0	0.225	289	0	False	272592
0	0	0.001	128	0	0.25	289	0	False	272608
1.276	0	0.001	128	0	0.275	289	0	False	272624
9.314	0	0.016	128	0	0.3	289	0	False	272640
23.726	0	0.016	128	0	0.312	289	0	False	272656
43.627	0	0.027	128	0	0.334	289	0	False	272672
63.087	0	0.027	128	0	0.366	289.001	0	False	272688
78.907	0	0.027	128	0	0.405	289.001	0	False	272704
88.673	0	0.027	128	0	0.449	289.001	0	False	272720
88.673	0	0.027	128	0	0.494	289.001	0	False	272736
93.361	0	0.027	128	0	0.54	289.001	0	False	272752
95.314	0	0.027	128	0	0.588	289.002	0	False	272768
96.388	0	0.027	128	0	0.636	289.002	0	False	272784
97.365	0	0.027	128	0	0.685	289.002	0	False	272800
97.755	0	0.027	128	0	0.734	289.003	0	False	272816
97.755	0	0.027	128	0	0.783	289.003	0	False	272832
98.048	0	0.027	128	0	0.832	289.003	0	False	272848
98.439	0	0.041	128	0	0.881	289.004	0	False	272864
99.025	0	0.041	128	0	0.93	289.005	0	False	272880
99.025	0	0.041	128	0	0.98	289.005	0	False	272896
99.709	0	0.041	128	0	1.03	289.006	0	False	272912
100	0	0.041	128	0	1.08	289.007	0	False	272928
100	0	0.041	128	0	1.13	289.008	0	False	272944
100	0	0.041	128	0	1.18	289.009	0	False	272960
100	0	0.041	128	0	1.229	289.009	0	False	272976
100	0	0.041	128	0	1.279	289.01	0	False	272992
100	0	0.041	128	0	1.329	289.011	0	False	273008
100	0	0.041	128	0	1.379	289.012	0	False	273024
100	0	0.041	128	0	1.429	289.013	0	False	273040
100	0	0.041	128	0	1.479	289.014	0	False	273056
100	0	0.041	128	0	1.529	289.015	0	False	273072
100	0	0.041	128	0	1.579	289.017	0	False	273088
100	0	0.041	128	0	1.629	289.018	0	False	273104
100	0	0.041	128	0	1.678	289.019	0	False	273120
100	0	0.041	128	0	1.728	289.02	0	False	273136
100	0	0.041	128	0	1.778	289.022	0	False	273152
100	0	0.041	128	0	1.828	289.023	0	False	273168
100	0	0.041	128	0	1.878	289.024	0	False	273184
100	0	0.041	128	0	1.927	289.026	0	False	273200
100	0	0.041	128	0	1.977	289.027	0	False	273216
100	0	0.041	128	0	2.027	289.028	0	False	273232
100	0	0.041	128	0	2.077	289.03	0	False	273248
100	0	0.041	128	0	2.127	289.031	0	False	273264
100	0	0.041	128	0	2.176	289.033	0	False	273280
100	0	0.041	128	0	2.226	289.035	0	False	273296
100	0	0.041	128	0	2.276	289.036	0	False	273312
100	0	0.041	128	0	2.326	289.038	0	False	273328
100	0	0.041	128	0	2.375	289.04	0	False	273344
100	0	0.041	128	0	2.425	289.041	0	False	273360
100	0	0.041	128	0	2.475	289.043	0	False	273376
100	0	0.041	128	0	2.524	289.045	0	False	273392
100	0	0.041	128	0	2.574	289.047	0	False	273408
100	0	0.041	128	0	2.624	289.049	0	False	273424
100	0	0.041	128	0	2.673	289.051	0	False	273440
100	0	0.041	128	0	2.723	289.053	0	False	273457
100	0	0.041	128	0	2.773	289.055	0	False	273472
100	0	0.041	128	0	2.822	289.057	0	False	273488
100	0	0.041	128	0	2.872	289.059	0	False	273504
100	0	0.041	128	0	2.922	289.061	0	False	273520
100	0	0.041	128	0	2.971	289.063	0	False	273536
100	0	0.041	128	0	3.021	289.065	0	False	273552
100	0	0.041	128	0	3.07	289.067	0	False	273568
100	0	0.041	128	0	3.12	289.07	0	False	273584
100	0	0.041	128	0	3.17	289.072	0	False	273600
100	0	0.041	128	0	3.219	289.074	0	False	273616
100	0	0.041	128	0	3.269	289.077	0	False	273632
100	0	0.041	128	0	3.318	289.079	0	False	273648
100	0	0.041	128	0	3.368	289.081	0	False	273664
100	0	0.041	128	0	3.417	289.084	0	False	273680
100	0	0.041	128	0	3.467	289.086	0	False	273696
100	0	0.041	128	0	3.517	289.089	0	False	273712
100	0	0.041	128	0	3.567	289.091	0	False	273728
100	0	0.041	128	0	3.618	289.094	0	False	273744
100	0	0.041	128	0	3.668	289.097	0	False	273760
100	0	0.041	128	0	3.719	289.099	0	False	273776
100	0	0.041	128	0	3.769	289.102	0	False	273792
100	0	0.041	128	0	3.82	289.105	0	False	273808
100	0	0.041	128	0	3.872	289.108	0	False	273824
100	0	0.041	128	0	3.923	289.11	0	False	273840
100	0	0.041	128	0	3.974	289.113	0	False	273856
100	0	0.041	128	0	4.026	289.116	0	False	273876
100	0	0.041	128	0	4.078	289.119	0	False	273888
100	0	0.041	128	0	4.13	289.122	0	False	273904
100	0	0.041	128	0	4.182	289.125	0	False	273920
100	0	0.041	128	0	4.234	289.128	0	False	273936
