Thrtl	Brke	WjlDeg	DGear	RGear	Vel	LaneDev	RT	Col	Time
0	100	-0.095	128	0	0	289	0	False	319208
0	100	-0.095	128	0	0	289	0	False	319216
0	100	-0.095	128	0	0	289	0	False	319233
0	100	-0.095	128	0	0	289	0	False	319248
0	100	-0.095	128	0	0	289	0	False	319264
0	100	-0.095	128	0	0	289	0	False	319280
0	100	-0.095	128	0	0	289	0	False	319296
0	100	-0.095	128	0	0	289	0	False	319312
0	100	-0.095	128	0	0	289	0	False	319328
0	100	-0.095	128	0	0	289	0	False	319344
0	100	-0.095	128	0	0	289	0	False	319360
0	100	-0.095	128	0	0	289	0	False	319376
0	100	-0.095	128	0	0	289	0	False	319392
0	100	-0.095	128	0	0	289	0	False	319408
0	100	-0.095	128	0	0	289	0	False	319424
0	100	-0.095	128	0	0	289	0	False	319440
0	100	-0.095	128	0	0	289	0	False	319456
0	100	-0.095	128	0	0	289	0	False	319472
0	100	-0.095	128	0	0	289	0	False	319488
0	100	-0.095	128	0	0	289	0	False	319504
0	100	-0.095	128	0	0	289	0	False	319520
0	100	-0.095	128	0	0	289	0	False	319536
0	100	-0.095	128	0	0	289	0	False	319552
0	100	-0.095	128	0	0	289	0	False	319568
0	100	-0.095	128	0	0	289	0	False	319584
0	100	-0.095	128	0	0	289	0	False	319600
0	100	-0.095	128	0	0	289	0	False	319616
0	100	-0.084	128	0	0	289	0	False	319632
0	100	-0.084	128	0	0	289	0	False	319648
0	100	-0.073	128	0	0	289	0	False	319664
0	86.232	-0.073	128	0	0	289	0	False	319680
0	64.942	-0.059	128	0	0	289	0	False	319696
0	46.079	-0.048	128	0	0	289	0	False	319712
0	21.569	-0.033	128	0	0	289	0	False	319728
0	4.021	-0.022	128	0	0	289	0	False	319744
0	4.021	-0.022	128	0	0	289	0	False	319760
0	0	-0.007	128	0	0.025	289	0	False	319776
0	0	0.001	128	0	0.05	289	0	False	319792
0	0	0.016	128	0	0.075	289	0	False	319808
0	0	0.027	128	0	0.1	289	0	False	319824
0	0	0.027	128	0	0.125	289	0	False	319840
0	0	0.041	128	0	0.15	289	0	False	319856
0	0	0.052	128	0	0.175	289	0	False	319872
0	0	0.052	128	0	0.2	289.001	0	False	319888
0	0	0.063	128	0	0.225	289.001	0	False	319904
0	0	0.078	128	0	0.25	289.001	0	False	319920
2.06	0	0.078	128	0	0.275	289.002	0	False	319936
8.922	0	0.089	128	0	0.3	289.002	0	False	319952
8.922	0	0.089	128	0	0.325	289.003	0	False	319968
21.176	0	0.089	128	0	0.336	289.003	0	False	319984
38.628	0	0.089	128	0	0.355	289.004	0	False	320000
57.227	0	0.089	128	0	0.384	289.004	0	False	320016
74.708	0	0.089	128	0	0.421	289.005	0	False	320032
87.013	0	0.089	128	0	0.465	289.006	0	False	320048
93.751	0	0.089	128	0	0.512	289.006	0	False	320064
96.681	0	0.089	128	0	0.56	289.007	0	False	320080
97.658	0	0.078	128	0	0.609	289.008	0	False	320096
98.537	0	0.078	128	0	0.658	289.009	0	False	320112
98.537	0	0.078	128	0	0.707	289.01	0	False	320128
99.416	0	0.078	128	0	0.757	289.011	0	False	320144
99.806	0	0.078	128	0	0.807	289.012	0	False	320160
