Thrtl	Brke	WjlDeg	DGear	RGear	Vel	LaneDev	RT	Col	Time
0	100	-0.754	128	0	0	289	0	False	239784
0	100	-0.729	128	0	0	289	0	False	239794
0	100	-0.692	128	0	0	289	0	False	239808
0	100	-0.667	128	0	0	289	0	False	239824
0	100	-0.641	128	0	0	289	0	False	239840
0	100	-0.615	128	0	0	289	0	False	239856
0	100	-0.604	128	0	0	289	0	False	239872
0	100	-0.59	128	0	0	289	0	False	239888
0	100	-0.59	128	0	0	289	0	False	239904
0	100	-0.579	128	0	0	289	0	False	239920
0	100	-0.579	128	0	0	289	0	False	239936
0	100	-0.579	128	0	0	289	0	False	239952
0	100	-0.579	128	0	0	289	0	False	239968
0	100	-0.579	128	0	0	289	0	False	239984
0	100	-0.579	128	0	0	289	0	False	240000
0	100	-0.579	128	0	0	289	0	False	240016
0	100	-0.579	128	0	0	289	0	False	240032
0	100	-0.579	128	0	0	289	0	False	240048
0	100	-0.579	128	0	0	289	0	False	240064
0	100	-0.579	128	0	0	289	0	False	240080
0	100	-0.564	128	0	0	289	0	False	240096
0	100	-0.553	128	0	0	289	0	False	240112
0	100	-0.538	128	0	0	289	0	False	240128
0	100	-0.527	128	0	0	289	0	False	240144
0	100	-0.513	128	0	0	289	0	False	240160
0	100	-0.487	128	0	0	289	0	False	240176
0	100	-0.476	128	0	0	289	0	False	240192
0	100	-0.45	128	0	0	289	0	False	240208
0	100	-0.439	128	0	0	289	0	False	240224
0	100	-0.414	128	0	0	289	0	False	240240
0	100	-0.399	128	0	0	289	0	False	240256
0	99.318	-0.388	128	0	0	289	0	False	240272
0	93.165	-0.363	128	0	0	289	0	False	240288
0	84.376	-0.348	128	0	0	289	0	False	240304
0	75.001	-0.337	128	0	0	289	0	False	240320
0	65.626	-0.326	128	0	0	289	0	False	240336
0	65.626	-0.3	128	0	0	289	0	False	240352
0	46.079	-0.3	128	0	0	289	0	False	240369
0	46.079	-0.286	128	0	0	289	0	False	240384
0	29.804	-0.275	128	0	0	289	0	False	240400
0	16.078	-0.26	128	0	0	289	0	False	240416
0	4.021	-0.249	128	0	0	289	0	False	240432
0	0	-0.249	128	0	0.025	289	0	False	240448
0	0	-0.234	128	0	0.05	289	0	False	240464
0	0	-0.223	128	0	0.075	288.999	0	False	240480
0	0	-0.223	128	0	0.1	288.999	0	False	240496
0	0	-0.212	128	0	0.125	288.999	0	False	240512
0	0	-0.198	128	0	0.15	288.998	0	False	240528
0	0	-0.198	128	0	0.175	288.997	0	False	240544
0	0	-0.198	128	0	0.2	288.997	0	False	240560
0	0	-0.198	128	0	0.225	288.996	0	False	240576
0	0	-0.198	128	0	0.25	288.995	0	False	240592
0	0	-0.187	128	0	0.275	288.994	0	False	240608
0	0	-0.187	128	0	0.3	288.993	0	False	240624
0	0	-0.187	128	0	0.325	288.992	0	False	240640
0	0	-0.172	128	0	0.35	288.991	0	False	240656
0	0	-0.172	128	0	0.375	288.99	0	False	240672
0	0	-0.172	128	0	0.4	288.989	0	False	240688
0	0	-0.172	128	0	0.425	288.987	0	False	240704
0	0	-0.146	128	0	0.45	288.986	0	False	240720
0	0	-0.146	128	0	0.475	288.985	0	False	240736
2.353	0	-0.136	128	0	0.5	288.984	0	False	240752
2.353	0	-0.121	128	0	0.525	288.983	0	False	240768
