Thrtl	Brke	WjlDeg	DGear	RGear	Vel	LaneDev	RT	Col	Time
0	100	-0.136	128	0	0	289	0	False	254008
0	100	-0.136	128	0	0	289	0	False	254016
0	100	-0.136	128	0	0	289	0	False	254032
0	100	-0.136	128	0	0	289	0	False	254048
0	100	-0.136	128	0	0	289	0	False	254064
0	100	-0.136	128	0	0	289	0	False	254080
0	100	-0.121	128	0	0	289	0	False	254096
0	100	-0.121	128	0	0	289	0	False	254112
0	100	-0.121	128	0	0	289	0	False	254128
0	100	-0.11	128	0	0	289	0	False	254144
0	100	-0.095	128	0	0	289	0	False	254160
0	100	-0.095	128	0	0	289	0	False	254176
0	97.462	-0.084	128	0	0	289	0	False	254192
0	94.337	-0.073	128	0	0	289	0	False	254208
0	89.357	-0.059	128	0	0	289	0	False	254224
0	81.837	-0.048	128	0	0	289	0	False	254240
0	71.876	-0.033	128	0	0	289	0	False	254256
0	60.645	-0.022	128	0	0	289	0	False	254272
0	50.001	-0.022	128	0	0	289	0	False	254288
0	50.001	0.001	128	0	0	289	0	False	254304
0	28.432	0.001	128	0	0	289	0	False	254320
0	12.059	0.001	128	0	0	289	0	False	254336
0	0	0.016	128	0	0.025	289	0	False	254352
0	0	0.016	128	0	0.05	289	0	False	254368
0	0	0.016	128	0	0.075	289	0	False	254384
0	0	0.016	128	0	0.1	289	0	False	254400
0	0	0.016	128	0	0.125	289	0	False	254416
0	0	0.016	128	0	0.15	289	0	False	254432
0	0	0.016	128	0	0.175	289	0	False	254448
0	0	0.016	128	0	0.2	289	0	False	254465
0	0	0.016	128	0	0.225	289	0	False	254480
0	0	0.016	128	0	0.25	289	0	False	254496
0	0	0.016	128	0	0.275	289	0	False	254512
0	0	0.016	128	0	0.3	289.001	0	False	254528
0	0	0.016	128	0	0.325	289.001	0	False	254544
0	0	0.016	128	0	0.35	289.001	0	False	254560
4.118	0	0.027	128	0	0.375	289.001	0	False	254576
12.354	0	0.027	128	0	0.382	289.001	0	False	254592
25.196	0	0.027	128	0	0.394	289.001	0	False	254609
40.49	0	0.027	128	0	0.414	289.001	0	False	254624
56.349	0	0.027	128	0	0.442	289.002	0	False	254640
70.314	0	0.027	128	0	0.478	289.002	0	False	254657
70.314	0	0.027	128	0	0.513	289.002	0	False	254673
80.47	0	0.027	128	0	0.553	289.002	0	False	254688
86.72	0	0.027	128	0	0.596	289.003	0	False	254704
90.236	0	0.027	128	0	0.642	289.003	0	False	254720
92.287	0	0.027	128	0	0.688	289.003	0	False	254736
93.556	0	0.027	128	0	0.734	289.004	0	False	254752
94.435	0	0.027	128	0	0.782	289.004	0	False	254768
95.216	0	0.027	128	0	0.829	289.004	0	False	254784
95.9	0	0.027	128	0	0.877	289.005	0	False	254800
96.779	0	0.027	128	0	0.925	289.005	0	False	254816
96.779	0	0.027	128	0	0.974	289.006	0	False	254832
97.951	0	0.027	128	0	1.023	289.006	0	False	254848
99.123	0	0.027	128	0	1.072	289.007	0	False	254864
99.904	0	0.027	128	0	1.122	289.007	0	False	254880
100	0	0.027	128	0	1.172	289.008	0	False	254896
100	0	0.027	128	0	1.222	289.008	0	False	254912
100	0	0.027	128	0	1.272	289.009	0	False	254928
100	0	0.027	128	0	1.322	289.009	0	False	254944
100	0	0.027	128	0	1.372	289.01	0	False	254960
100	0	0.027	128	0	1.422	289.011	0	False	254976
100	0	0.027	128	0	1.471	289.011	0	False	254992
100	0	0.027	128	0	1.521	289.012	0	False	255008
100	0	0.027	128	0	1.571	289.013	0	False	255024
100	0	0.027	128	0	1.621	289.014	0	False	255040
100	0	0.027	128	0	1.671	289.014	0	False	255056
100	0	0.027	128	0	1.721	289.015	0	False	255072
100	0	0.027	128	0	1.771	289.016	0	False	255089
100	0	0.027	128	0	1.82	289.017	0	False	255104
100	0	0.027	128	0	1.87	289.018	0	False	255120
100	0	0.027	128	0	1.92	289.019	0	False	255136
100	0	0.027	128	0	1.97	289.019	0	False	255152
100	0	0.027	128	0	2.02	289.02	0	False	255168
100	0	0.027	128	0	2.069	289.021	0	False	255184
100	0	0.027	128	0	2.119	289.022	0	False	255200
100	0	0.027	128	0	2.169	289.023	0	False	255216
100	0	0.027	128	0	2.219	289.024	0	False	255232
100	0	0.027	128	0	2.268	289.025	0	False	255248
100	0	0.027	128	0	2.318	289.027	0	False	255264
100	0	0.027	128	0	2.368	289.028	0	False	255280
100	0	0.027	128	0	2.418	289.029	0	False	255296
100	0	0.027	128	0	2.467	289.03	0	False	255312
100	0	0.027	128	0	2.517	289.031	0	False	255328
100	0	0.027	128	0	2.567	289.032	0	False	255344
100	0	0.027	128	0	2.616	289.033	0	False	255360
100	0	0.027	128	0	2.666	289.035	0	False	255376
100	0	0.027	128	0	2.716	289.036	0	False	255392
100	0	0.027	128	0	2.765	289.037	0	False	255408
100	0	0.027	128	0	2.815	289.039	0	False	255424
100	0	0.027	128	0	2.865	289.04	0	False	255440
100	0	0.027	128	0	2.914	289.041	0	False	255456
100	0	0.027	128	0	2.964	289.043	0	False	255472
100	0	0.027	128	0	3.013	289.044	0	False	255488
100	0	0.027	128	0	3.063	289.045	0	False	255504
100	0	0.027	128	0	3.113	289.047	0	False	255520
100	0	0.027	128	0	3.162	289.048	0	False	255536
100	0	0.027	128	0	3.212	289.05	0	False	255552
100	0	0.027	128	0	3.261	289.051	0	False	255568
100	0	0.027	128	0	3.311	289.053	0	False	255584
100	0	0.027	128	0	3.36	289.054	0	False	255600
100	0	0.027	128	0	3.41	289.056	0	False	255616
100	0	0.027	128	0	3.46	289.058	0	False	255632
100	0	0.027	128	0	3.51	289.059	0	False	255648
100	0	0.027	128	0	3.56	289.061	0	False	255664
100	0	0.027	128	0	3.61	289.063	0	False	255680
100	0	0.027	128	0	3.66	289.064	0	False	255696
100	0	0.027	128	0	3.711	289.066	0	False	255712
100	0	0.027	128	0	3.762	289.068	0	False	255728
100	0	0.027	128	0	3.813	289.069	0	False	255744
100	0	0.027	128	0	3.864	289.071	0	False	255760
100	0	0.027	128	0	3.915	289.073	0	False	255776
100	0	0.027	128	0	3.967	289.075	0	False	255792
100	0	0.027	128	0	4.018	289.077	0	False	255808
100	0	0.027	128	0	4.07	289.079	0	False	255824
100	0	0.027	128	0	4.122	289.081	0	False	255840
100	0	0.027	128	0	4.174	289.082	0	False	255856
100	0	0.027	128	0	4.227	289.084	0	False	255872
100	0	0.027	128	0	4.279	289.086	0	False	255888
100	0	0.027	128	0	4.332	289.088	0	False	255904
100	0	0.027	128	0	4.385	289.09	0	False	255920
100	0	0.027	128	0	4.438	289.093	0	False	255936
100	0	0.027	128	0	4.491	289.095	0	False	255952
100	0	0.027	128	0	4.544	289.097	0	False	255969
100	0	0.027	128	0	4.598	289.099	0	False	255984
100	0	0.027	128	0	4.651	289.101	0	False	256000
100	0	0.027	128	0	4.705	289.103	0	False	256016
100	0	0.027	128	0	4.759	289.105	0	False	256032
100	0	0.027	128	0	4.813	289.108	0	False	256048
100	0	0.027	128	0	4.868	289.11	0	False	256064
100	0	0.027	128	0	4.922	289.112	0	False	256080
100	0	0.027	128	0	4.977	289.114	0	False	256096
100	0	0.027	128	0	5.032	289.117	0	False	256112
100	0	0.027	128	0	5.087	289.119	0	False	256128
100	0	0.027	128	0	5.142	289.122	0	False	256144
100	0	0.027	128	0	5.197	289.124	0	False	256160
100	0	0.027	128	0	5.252	289.126	0	False	256176
100	0	0.027	128	0	5.307	289.129	0	False	256192
100	0	0.027	128	0	5.362	289.131	0	False	256208
100	0	0.027	128	0	5.418	289.134	0	False	256224
100	0	0.027	128	0	5.473	289.136	0	False	256240
100	0	0.027	128	0	5.529	289.139	0	False	256256
100	0	0.027	128	0	5.585	289.142	0	False	256272
100	0	0.027	128	0	5.64	289.144	0	False	256288
100	0	0.027	128	0	5.696	289.147	0	False	256305
100	0	0.027	128	0	5.752	289.149	0	False	256320
100	0	0.027	128	0	5.808	289.152	0	False	256336
100	0	0.027	128	0	5.864	289.155	0	False	256352
100	0	0.027	128	0	5.92	289.158	0	False	256368
100	0	0.027	128	0	5.976	289.16	0	False	256384
100	0	0.027	128	0	6.033	289.163	0	False	256400
100	0	0.027	128	0	6.089	289.166	0	False	256416
100	0	0.027	128	0	6.146	289.169	0	False	256432
100	0	0.027	128	0	6.202	289.172	0	False	256448
100	0	0.027	128	0	6.259	289.175	0	False	256464
100	0	0.027	128	0	6.315	289.178	0	False	256480
100	0	0.027	128	0	6.372	289.18	0	False	256497
100	0	0.027	128	0	6.429	289.183	0	False	256512
100	0	0.027	128	0	6.486	289.186	0	False	256528
100	0	0.027	128	0	6.543	289.189	0	False	256544
100	0	0.027	128	0	6.6	289.193	0	False	256560
100	0	0.027	128	0	6.658	289.196	0	False	256576
100	0	0.027	128	0	6.715	289.199	0	False	256592
100	0	0.027	128	0	6.772	289.202	0	False	256608
100	0	0.027	128	0	6.83	289.205	0	False	256624
100	0	0.027	128	0	6.887	289.208	0	False	256640
100	0	0.027	128	0	6.945	289.211	0	False	256656
100	0	0.027	128	0	7.003	289.215	0	False	256672
100	0	0.027	128	0	7.061	289.218	0	False	256688
100	0	0.027	128	0	7.118	289.221	0	False	256704
100	0	0.027	128	0	7.176	289.225	0	False	256720
100	0	0.027	128	0	7.234	289.228	0	False	256736
100	0	0.027	128	0	7.293	289.231	0	False	256752
100	0	0.027	128	0	7.351	289.235	0	False	256768
100	0	0.027	128	0	7.409	289.238	0	False	256784
100	0	0.027	128	0	7.468	289.242	0	False	256800
100	0	0.027	128	0	7.526	289.245	0	False	256816
100	0	0.027	128	0	7.585	289.249	0	False	256832
100	0	0.027	128	0	7.643	289.252	0	False	256848
100	0	0.027	128	0	7.702	289.256	0	False	256864
100	0	0.027	128	0	7.761	289.259	0	False	256880
100	0	0.027	128	0	7.82	289.263	0	False	256896
100	0	0.027	128	0	7.879	289.267	0	False	256912
100	0	0.027	128	0	7.938	289.27	0	False	256928
100	0	0.027	128	0	7.997	289.274	0	False	256944
100	0	0.027	128	0	8.056	289.278	0	False	256960
100	0	0.027	128	0	8.116	289.282	0	False	256976
100	0	0.027	128	0	8.175	289.285	0	False	256992
100	0	0.027	128	0	8.234	289.289	0	False	257008
100	0	0.027	128	0	8.294	289.293	0	False	257024
100	0	0.027	128	0	8.353	289.297	0	False	257040
100	0	0.027	128	0	8.413	289.301	0	False	257056
100	0	0.027	128	0	8.472	289.305	0	False	257072
100	0	0.027	128	0	8.532	289.309	0	False	257088
100	0	0.027	128	0	8.592	289.313	0	False	257104
100	0	0.027	128	0	8.652	289.317	0	False	257120
100	0	0.027	128	0	8.711	289.321	0	False	257136
100	0	0.027	128	0	8.771	289.325	0	False	257152
100	0	0.027	128	0	8.831	289.329	0	False	257168
100	0	0.027	128	0	8.891	289.333	0	False	257184
100	0	0.027	128	0	8.951	289.337	0	False	257200
100	0	0.027	128	0	9.011	289.341	0	False	257216
100	0	0.027	128	0	9.071	289.345	0	False	257232
100	0	0.027	128	0	9.131	289.35	0	False	257248
100	0	0.027	128	0	9.192	289.354	0	False	257264
100	0	0.027	128	0	9.252	289.358	0	False	257280
100	0	0.027	128	0	9.312	289.363	0	False	257297
100	0	0.027	128	0	9.372	289.367	0	False	257312
100	0	0.027	128	0	9.433	289.371	0	False	257328
100	0	0.027	128	0	9.493	289.376	0	False	257344
100	0	0.027	128	0	9.553	289.38	0	False	257360
100	0	0.027	128	0	9.614	289.385	0	False	257376
100	0	0.027	128	0	9.674	289.389	0	False	257392
100	0	0.027	128	0	9.735	289.394	0	False	257408
100	0	0.027	128	0	9.795	289.398	0	False	257424
100	0	0.027	128	0	9.856	289.403	0	False	257440
100	0	0.027	128	0	9.916	289.407	0	False	257456
100	0	0.027	128	0	9.977	289.412	0	False	257472
100	0	0.027	128	0	10.038	289.416	0	False	257488
100	0	0.027	128	0	10.098	289.421	0	False	257504
